DATE;HOUR;GR;PAR;T;RH;DATETIME;;;;;;
10/09/2002;23;0;0;17;80;10/09/2002 23:00;;;;;;
10/09/2002;24;0;0;18.2;74;11/09/2002 00:00;;;;;;
11/09/2002;1;0;0;16.9;79;11/09/2002 01:00;;;;;;
11/09/2002;2;0;0;16.6;79;11/09/2002 02:00;;;;;;
11/09/2002;3;0;0;17.3;76;11/09/2002 03:00;;;;;;
11/09/2002;4;0;0;17.3;75;11/09/2002 04:00;;;;;;
11/09/2002;5;0;0;17.3;75;11/09/2002 05:00;;;;;;
11/09/2002;6;10;63.9;17.8;76;11/09/2002 06:00;;;;;;
11/09/2002;7;80;511.2;22.9;66;11/09/2002 07:00;;;;;;
11/09/2002;8;166;1060.74;24.6;60;11/09/2002 08:00;;;;;;
11/09/2002;9;246;1571.94;24.9;61;11/09/2002 09:00;;;;;;
11/09/2002;10;296;1891.44;25.6;56;11/09/2002 10:00;;;;;;
11/09/2002;11;184;1175.76;24.7;59;11/09/2002 11:00;;;;;;
11/09/2002;12;214;1367.46;24;64;11/09/2002 12:00;;;;;;
11/09/2002;13;206;1316.34;26.7;59;11/09/2002 13:00;;;;;;
11/09/2002;14;138;881.82;24.6;65;11/09/2002 14:00;;;;;;
11/09/2002;15;82;523.98;25.2;58;11/09/2002 15:00;;;;;;
11/09/2002;16;100;639;24.4;63;11/09/2002 16:00;;;;;;
11/09/2002;17;30;191.7;21.5;73;11/09/2002 17:00;;;;;;
11/09/2002;18;0;0;19.8;83;11/09/2002 18:00;;;;;;
11/09/2002;19;0;0;19;88;11/09/2002 19:00;;;;;;
11/09/2002;20;0;0;18.2;88;11/09/2002 20:00;;;;;;
11/09/2002;21;0;0;17.9;82;11/09/2002 21:00;;;;;;
11/09/2002;22;0;0;18;78;11/09/2002 22:00;;;;;;
11/09/2002;23;0;0;18.3;80;11/09/2002 23:00;;;;;;
11/09/2002;24;0;0;17.4;81;12/09/2002 00:00;;;;;;
12/09/2002;1;0;0;17;77;12/09/2002 01:00;;;;;;
12/09/2002;2;0;0;16.4;71;12/09/2002 02:00;;;;;;
12/09/2002;3;0;0;17.3;69;12/09/2002 03:00;;;;;;
12/09/2002;4;0;0;17.2;72;12/09/2002 04:00;;;;;;
12/09/2002;5;0;0;17.3;74;12/09/2002 05:00;;;;;;
12/09/2002;6;10;63.9;17.9;71;12/09/2002 06:00;;;;;;
12/09/2002;7;84;536.76;23.1;61;12/09/2002 07:00;;;;;;
12/09/2002;8;178;1137.42;25.6;55;12/09/2002 08:00;;;;;;
12/09/2002;9;214;1367.46;24.6;60;12/09/2002 09:00;;;;;;
12/09/2002;10;264;1686.96;24.9;58;12/09/2002 10:00;;;;;;
12/09/2002;11;204;1303.56;24.7;57;12/09/2002 11:00;;;;;;
12/09/2002;12;228;1456.92;24.6;56;12/09/2002 12:00;;;;;;
12/09/2002;13;112;715.68;23.1;67;12/09/2002 13:00;;;;;;
12/09/2002;14;144;920.16;23.9;67;12/09/2002 14:00;;;;;;
12/09/2002;15;110;702.9;24.2;66;12/09/2002 15:00;;;;;;
12/09/2002;16;110;702.9;23.6;69;12/09/2002 16:00;;;;;;
12/09/2002;17;20;127.8;21.3;76;12/09/2002 17:00;;;;;;
12/09/2002;18;0;0;18.5;88;12/09/2002 18:00;;;;;;
12/09/2002;19;0;0;18.5;92;12/09/2002 19:00;;;;;;
12/09/2002;20;0;0;18.2;83;12/09/2002 20:00;;;;;;
12/09/2002;21;0;0;17.5;81;12/09/2002 21:00;;;;;;
12/09/2002;22;0;0;18.1;72;12/09/2002 22:00;;;;;;
12/09/2002;23;0;0;18.1;72;12/09/2002 23:00;;;;;;
12/09/2002;24;0;0;17.1;73;13/09/2002 00:00;;;;;;
13/09/2002;1;0;0;16.4;79;13/09/2002 01:00;;;;;;
13/09/2002;2;0;0;17.1;77;13/09/2002 02:00;;;;;;
13/09/2002;3;0;0;17;78;13/09/2002 03:00;;;;;;
13/09/2002;4;0;0;17;78;13/09/2002 04:00;;;;;;
13/09/2002;5;0;0;17.1;76;13/09/2002 05:00;;;;;;
13/09/2002;6;10;63.9;17;76;13/09/2002 06:00;;;;;;
13/09/2002;7;86;549.54;23.1;60;13/09/2002 07:00;;;;;;
13/09/2002;8;174;1111.86;24.2;57;13/09/2002 08:00;;;;;;
13/09/2002;9;252;1610.28;25.6;57;13/09/2002 09:00;;;;;;
13/09/2002;10;308;1968.12;24.8;55;13/09/2002 10:00;;;;;;
13/09/2002;11;332;2121.48;24.5;60;13/09/2002 11:00;;;;;;
13/09/2002;12;228;1456.92;23.8;68;13/09/2002 12:00;;;;;;
13/09/2002;13;128;817.92;24;69;13/09/2002 13:00;;;;;;
13/09/2002;14;96;613.44;23.1;68;13/09/2002 14:00;;;;;;
13/09/2002;15;48;306.72;22.9;71;13/09/2002 15:00;;;;;;
13/09/2002;16;26;166.14;22.5;74;13/09/2002 16:00;;;;;;
13/09/2002;17;10;63.9;22;75;13/09/2002 17:00;;;;;;
13/09/2002;18;0;0;20.7;79;13/09/2002 18:00;;;;;;
13/09/2002;19;0;0;19.2;77;13/09/2002 19:00;;;;;;
13/09/2002;20;0;0;18.7;76;13/09/2002 20:00;;;;;;
13/09/2002;21;0;0;18.4;73;13/09/2002 21:00;;;;;;
13/09/2002;22;0;0;18;73;13/09/2002 22:00;;;;;;
13/09/2002;23;0;0;17.9;74;13/09/2002 23:00;;;;;;
13/09/2002;24;0;0;18.1;75;14/09/2002 00:00;;;;;;
14/09/2002;1;0;0;18.7;71;14/09/2002 01:00;;;;;;
14/09/2002;2;0;0;18.2;74;14/09/2002 02:00;;;;;;
14/09/2002;3;0;0;16.7;78;14/09/2002 03:00;;;;;;
14/09/2002;4;0;0;17.2;79;14/09/2002 04:00;;;;;;
14/09/2002;5;0;0;16.9;75;14/09/2002 05:00;;;;;;
14/09/2002;6;8;51.12;18.5;74;14/09/2002 06:00;;;;;;
14/09/2002;7;14;89.46;19.9;77;14/09/2002 07:00;;;;;;
14/09/2002;8;28;178.92;18.1;90;14/09/2002 08:00;;;;;;
14/09/2002;9;22;140.58;17.8;98;14/09/2002 09:00;;;;;;
14/09/2002;10;76;485.64;18.2;99;14/09/2002 10:00;;;;;;
14/09/2002;11;88;562.32;19.3;99;14/09/2002 11:00;;;;;;
14/09/2002;12;74;472.86;19.1;99;14/09/2002 12:00;;;;;;
14/09/2002;13;92;587.88;21;92;14/09/2002 13:00;;;;;;
14/09/2002;14;72;460.08;22.3;77;14/09/2002 14:00;;;;;;
14/09/2002;15;18;115.02;18.7;94;14/09/2002 15:00;;;;;;
14/09/2002;16;18;115.02;18.7;99;14/09/2002 16:00;;;;;;
14/09/2002;17;6;38.34;19.7;99;14/09/2002 17:00;;;;;;
14/09/2002;18;0;0;19.7;84;14/09/2002 18:00;;;;;;
14/09/2002;19;0;0;19.7;87;14/09/2002 19:00;;;;;;
14/09/2002;20;0;0;19.7;78;14/09/2002 20:00;;;;;;
14/09/2002;21;2;12.78;19.4;76;14/09/2002 21:00;;;;;;
14/09/2002;22;0;0;19.1;71;14/09/2002 22:00;;;;;;
